肖申克的救赎,9.7,1908418人评价,https://movie.douban.com/subject/1292052/,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,策划了19年的私奔……,有种鸟是关不住的.,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
霸王别姬,9.6,1403527人评价,https://movie.douban.com/subject/1291546/,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此,你凝视你的脸，几亿人在爱恋。
阿甘正传,9.5,1451202人评价,https://movie.douban.com/subject/1292720/,阿甘奔跑的意象，应该留在了很多人心里。,Mama always said life was like a box of chocolates. You never know what you're gonna get.,太甜美的美國夢,重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。,"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。"
这个杀手不太冷,9.4,1647158人评价,https://movie.douban.com/subject/1295644/,我开始想要过得快乐，睡在床上，有牵挂,我没啥感觉的公认好片。,或许是很多姑娘大叔控的根源。,"Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no...","Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone."
美丽人生,9.5,921323人评价,https://movie.douban.com/subject/1292063/,很久以前看过的，永远难忘片中父亲的鬼脸,父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.,这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆,前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。,"世界上最美丽的谎言与微笑。Surprise her, forever!"
泰坦尼克号,9.4,1396592人评价,https://movie.douban.com/subject/1292722/,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,永远是我在电影院所看过最好的电影,还是会哭。,"生死两茫茫
不思量
自难忘",学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。
千与千寻,9.3,1491877人评价,https://movie.douban.com/subject/1291561/,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",最好的宫崎骏，最好的久石让。,“有些事情是不可能忘记的。 只是一时想不起来。”忘了怎么打动我的了……好像不是打动，而是震撼。,"你忘了吗?
往下飞的时候眼泪是往上流的.",我觉得这部电影激发了我对日本动画的兴趣……预言难以表述我的感受，怪诞，温暖，治愈……总之，这是我这辈子看过的最好的动画（为什么我现在才看！）
辛德勒的名单,9.5,742659人评价,https://movie.douban.com/subject/1295124/,有钱才能保护喜欢的人,印象很深刻的是黑白画面中的红色。,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,请看一部没有笑容的电影吧,很棒，直击人心。不知道什么时候中国也能拍出这样的电影。
盗梦空间,9.3,1400182人评价,https://movie.douban.com/subject/3541415/,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,这电影看完就开始怀疑人生了，类似的还有《蝴蝶效应》《骇客帝国》《心慌方》《无姓之人》《攻壳机动队》《楚门的世界》等等……其实我突然觉得这一类题材影片的鼻祖明明就是动画片《魔方大厦》啊，郑渊洁威武。,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
忠犬八公的故事,9.4,961977人评价,https://movie.douban.com/subject/3011091/,"你要养狗,就不能当它是guest,十年可是一只狗的一辈子",“永远都不能忘记你所爱的人” 狗尚如此，人何以堪？5星给动情的真实故事。,"哭死啦...想去涉谷看看那尊雕像...by the way,那个帅老头我好喜欢...!!!",“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....,这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道
海上钢琴师,9.3,1162426人评价,https://movie.douban.com/subject/1292001/,又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．,给大众看的艺术家电影，很多煽情与细述很不必要，但是很多人喜欢,我就爱他说，fuck the regulations!!,键盘有始有终，你确切知道 88 个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！,我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。
